ОКТМО,name

01000000000,Муниципальные образования Алтайского края
"01000000000,""Населенные пункты, входящие в состав муниципальных образований Алтайского края"""
01500000000,Муниципальные округа Алтайского края
01512000000,Залесовский муниципальный округ
"01512000000,""Населенные пункты, входящие в состав Залесовского муниципального округа"""
01514000000,Муниципальный округ Змеиногорский район
"01514000000,""Населенные пункты, входящие в состав муниципального округа Змеиногорский район"""
01539000000,Муниципальный округ город Славгород
"01539000000,""Населенные пункты, входящие в состав муниципального округа город Славгород"""
01541000000,Муниципальный округ Суетский район
"01541000000,""Населенные пункты, входящие в состав муниципального округа Суетский район"""
01558000000,Муниципальный округ Чарышский район
"01558000000,""Населенные пункты, входящие в состав муниципального округа Чарышский район"""
01600000000,Муниципальные районы Алтайского края
01601000000,Алейский муниципальный район
01601400000,Сельские поселения Алейского муниципального района/
"01601402000,""Населенные пункты, входящие в состав сельского поселения Алейский сельсовет Алейского муниципального района"""
"01601408000,""Населенные пункты, входящие в состав сельского поселения Безголосовский сельсовет Алейского муниципального района"""
"01601413000,""Населенные пункты, входящие в состав сельского поселения Большепанюшевский сельсовет Алейского муниципального района"""
"01601417000,""Населенные пункты, входящие в состав сельского поселения Боровской сельсовет Алейского муниципального района"""
"01601420000,""Населенные пункты, входящие в состав сельского поселения Дружбинский сельсовет Алейского муниципального района"""
"01601423000,""Населенные пункты, входящие в состав сельского поселения Дубровский сельсовет Алейского муниципального района"""
"01601426000,""Населенные пункты, входящие в состав сельского поселения Заветильичёвский сельсовет Алейского муниципального района"""
"01601432000,""Населенные пункты, входящие в состав сельского поселения Кашинский сельсовет Алейского муниципального района"""
"01601438000,""Населенные пункты, входящие в состав сельского поселения Кировский сельсовет Алейского муниципального района"""
"01601440000,""Населенные пункты, входящие в состав сельского поселения Краснопартизанский сельсовет Алейского муниципального района"""
"01601460000,""Населенные пункты, входящие в состав сельского поселения Малиновский сельсовет Алейского муниципального района"""
"01601464000,""Населенные пункты, входящие в состав сельского поселения Моховской сельсовет Алейского муниципального района"""
"01601468000,""Населенные пункты, входящие в состав сельского поселения Осколковский сельсовет Алейского муниципального района"""
"01601473000,""Населенные пункты, входящие в состав сельского поселения Плотавский сельсовет Алейского муниципального района"""
"01601475000,""Населенные пункты, входящие в состав сельского поселения Савинский сельсовет Алейского муниципального района"""
"01601477000,""Населенные пункты, входящие в состав сельского поселения Совхозный сельсовет Алейского муниципального района"""
"01601485000,""Населенные пункты, входящие в состав сельского поселения Урюпинский сельсовет Алейского муниципального района"""
"01601496000,""Населенные пункты, входящие в состав сельского поселения Фрунзенский сельсовет Алейского муниципального района"""
"01601498000,""Населенные пункты, входящие в состав сельского поселения Чапаевский сельсовет Алейского муниципального района"""
01602000000,Алтайский муниципальный район
